"Date" "ANTO" "ARM" "BARC" "BATS" "BG" "BLT" "BP" "BSY" "BTa" "CNA" "CRDA" "DGE" "GSK" "HSBA" "ITV" "LGEN" "LLOY" "MKS" "MRW" "NG" "OML" "PRU" "RBS" "RDSB" "RIO" "RR" "RSA" "TSCO" "ULVR" "VOD"
"2012-01-03" 1267.38 596.3 178.25 2843.12 1389.7 1773.17 429.58 690.92 187.94 271.09 1748.85 1358.58 1359.5 461.6 67.31 96.21 27.04 295.41 306.35 564.43 168.09 607.52 2101 2254.11 3116.91 0.06 94.33 381.94 2061.39 164.36
"2012-01-04" 1232.42 586.92 180.21 2829.73 1390.68 1757.16 431.77 679.74 186.9 271 1737.42 1343.36 1358.13 457.12 67.98 95.31 26.59 287.76 300.47 563.09 167.25 606.11 2076 2245.01 3132.84 0.06 94.68 376.6 2030.32 163.68
"2012-01-05" 1226.59 602.23 175.71 2800.18 1391.65 1735.81 432.32 671.36 183.97 265.34 1730.76 1346.22 1357.21 454.93 66.45 93.23 26.35 285.34 295.14 547.89 165.33 596.69 2027 2217.71 3113.16 0.06 93.54 365.83 2043.5 161.23
"2012-01-06" 1233.39 601.73 178.35 2805.26 1417.43 1734.03 435.05 662.52 185.01 262.15 1737.42 1345.74 1370.95 455.48 68.27 94.31 27.11 289.54 290.75 544.77 167.37 600.46 2051 2255.47 3106.13 0.06 94.5 363.04 1999.24 163.23
"2012-01-09" 1198.43 605.19 170.4 2779.41 1416.46 1732.69 431.91 658.33 185.39 261.05 1737.42 1347.17 1314.17 449.26 67.31 93.32 26.19 287.49 290.94 557.73 164.97 599.05 2007 2248.19 3103.78 0.06 93.72 362.63 2010.54 161.04
"2012-01-10" 1258.64 596.3 180.16 2796.49 1437.86 1791.86 437.38 667.17 188.31 262.33 1788.83 1347.17 1300.43 461.42 68.7 96.85 27.31 296.06 289.26 564.43 167.85 614.12 2113 2265.03 3213.93 0.06 95.38 362.21 2025.61 162.55
"2012-01-11" 1245.04 581 182.08 2749.39 1408.67 1806.98 433.46 659.26 190.2 258.95 1775.5 1330.99 1323.79 460.41 70.57 99.38 28.17 300.16 283.94 563.54 168.09 621.65 2179 2196.32 3270.64 0.06 95.64 357.56 1962.51 163.05
"2012-01-12" 1269.32 577.05 185.09 2760.94 1415.48 1828.33 437.29 649.48 188.5 255.94 1817.39 1331.47 1329.28 456.76 69.9 101.46 29.15 294.1 267.03 563.54 172.42 628.24 2300 2152.18 3325.48 0.06 97.92 300.4 1963.45 163.23
"2012-01-13" 1261.55 567.67 192.51 2742.47 1413.54 1819.44 434.37 645.29 192 258.22 1805.02 1322.43 1313.71 461.42 70.47 101.01 29.5 295.41 268.34 558.62 169.9 624.01 2410 2131.25 3338.14 0.06 96.25 294.22 1935.2 159.14
"2012-01-16" 1263.49 573.6 190.5 2760.94 1416.46 1850.58 435.92 636.44 195.96 258.86 1815.49 1337.65 1323.79 464.16 70.76 102.01 29.47 294.94 269.18 561.75 171.22 631.07 2442 2127.61 3364.39 0.06 96.17 290.09 1955.92 159.91
"2012-01-17" 1281.95 574.58 190.64 2740.62 1428.13 1886.61 439.52 634.58 194.26 261.42 1843.1 1332.9 1331.57 473.12 71.62 101.82 29.54 298.95 267.03 562.64 173.86 639.08 2485 2148.09 3462.81 0.06 95.47 294.87 1943.68 159.5
"2012-01-18" 1302.34 577.55 192.41 2735.54 1446.61 1901.73 439.02 642.03 192.47 260.14 1845 1333.37 1343.48 471.38 71.38 101.46 29.59 301.65 271.79 557.28 173.86 642.84 2484 2143.08 3478.28 0.06 93.63 298.12 1945.56 159.18
"2012-01-19" 1324.68 573.1 211.79 2675.52 1449.53 1920.42 439.98 620.61 191.71 258.59 1850.71 1313.87 1316.46 490.4 70.81 104.54 32.27 304.72 271.89 551.92 176.39 659.33 2706 2154.46 3494.69 0.06 94.68 303.7 1922.02 158.68
"2012-01-20" 1299.43 568.17 213.03 2698.15 1417.43 1891.06 426.3 625.27 193.98 258.5 1844.05 1325.29 1317.38 495.79 72.24 105.81 32.65 311.9 274.41 552.81 176.87 653.67 2744 2119.88 3453.91 0.06 94.68 305.55 1927.67 161
"2012-01-23" 1319.82 582.98 213.03 2722.62 1409.65 1920.86 434.74 633.18 194.64 257.68 1845.95 1320.05 1320.58 498.17 73.06 106.44 32.58 309.76 277.21 548.79 178.79 674.87 2814 2183.12 3502.19 0.06 95.29 311.13 1939.91 162.64
"2012-01-24" 1319.82 572.61 209.06 2728.62 1432.02 1894.17 435.37 635.05 197.09 262.33 1815.49 1340.03 1305.01 493.78 72.15 105.35 31.68 308.55 276.65 555.94 176.87 664.51 2705 2182.21 3468.44 0.06 95.29 306.48 1925.79 160.27
"2012-01-25" 1316.91 589.89 207.86 2713.84 1418.89 1894.17 432.77 626.2 195.77 263.24 1801.21 1349.07 1305.93 490.95 71.96 106.08 30.92 306.96 276.18 553.26 173.5 663.56 2675 2143.99 3479.22 0.06 94.15 299.84 1930.49 158.73
"2012-01-26" 1349.93 590.38 213.22 2743.85 1430.08 1956.9 434.78 625.27 196.15 266.34 1845.95 1352.4 1319.67 493.23 74.11 106.98 32.83 309.85 272.82 552.81 178.55 675.81 2767 2150.82 3649.36 0.06 94.68 299.98 1954.04 158.23
"2012-01-27" 1309.14 588.41 213.22 2727.7 1391.65 1935.1 423.65 630.39 192.09 266.62 1842.14 1342.89 1300.89 494.7 73.68 105.9 32.42 309.38 273.29 545.66 178.67 673.93 2774 2103.5 3571.56 0.06 93.54 297.89 1947.45 156.63
"2012-01-30" 1268.35 589.89 204.32 2735.54 1365.87 1913.75 418.09 619.68 191.15 265.98 1822.15 1349.07 1307.3 482.26 71.76 103.18 31.08 301.09 269.74 548.34 175.67 655.09 2676 2090.3 3560.77 0.06 92.14 297.2 1946.5 156.23
"2012-01-31" 1255.72 601.73 203.37 2693.53 1386.3 1888.83 429.4 642.5 192.09 267.71 1842.14 1333.85 1291.28 484.27 71.67 104.45 30.62 304.54 267.12 564.88 175.55 659.8 2662 2100.77 3566.87 0.06 92.75 296.82 1926.73 155.32
