"Date" "FTSE100"
"2012-01-03" 5699.9
"2012-01-04" 5668.5
"2012-01-05" 5624.3
"2012-01-06" 5649.7
"2012-01-09" 5612.3
"2012-01-10" 5696.7
"2012-01-11" 5670.8
"2012-01-12" 5662.4
"2012-01-13" 5636.6
"2012-01-16" 5657.4
"2012-01-17" 5694
"2012-01-18" 5702.4
"2012-01-19" 5741.1
"2012-01-20" 5728.5
"2012-01-23" 5782.6
"2012-01-24" 5751.9
"2012-01-25" 5723
"2012-01-26" 5795.2
"2012-01-27" 5733.5
"2012-01-30" 5671.1
"2012-01-31" 5681.6
"2012-02-01" 5790.7
"2012-02-02" 5796.1
"2012-02-03" 5901.1
"2012-02-06" 5892.2
"2012-02-07" 5890.3
"2012-02-08" 5875.9
"2012-02-09" 5895.5
"2012-02-10" 5852.4
"2012-02-13" 5905.7
"2012-02-14" 5899.9
"2012-02-15" 5892.2
"2012-02-16" 5885.4
"2012-02-17" 5905.1
"2012-02-20" 5945.3
"2012-02-21" 5928.2
"2012-02-22" 5916.5
"2012-02-23" 5937.9
"2012-02-24" 5935.1
"2012-02-27" 5915.5
"2012-02-28" 5927.9
"2012-02-29" 5871.5
"2012-03-01" 5931.3
"2012-03-02" 5911.1
"2012-03-05" 5874.8
"2012-03-06" 5765.8
"2012-03-07" 5791.4
"2012-03-08" 5859.7
"2012-03-09" 5887.5
"2012-03-12" 5892.8
"2012-03-13" 5955.9
"2012-03-14" 5945.4
"2012-03-15" 5940.7
"2012-03-16" 5965.6
"2012-03-19" 5961.1
"2012-03-20" 5891.4
"2012-03-21" 5892
"2012-03-22" 5845.6
"2012-03-23" 5854.9
"2012-03-26" 5902.7
"2012-03-27" 5869.5
"2012-03-28" 5809
"2012-03-29" 5742
"2012-03-30" 5768.5
"2012-04-02" 5874.9
"2012-04-03" 5838.3
"2012-04-04" 5703.8
"2012-04-05" 5723.7
"2012-04-10" 5595.5
"2012-04-11" 5634.7
"2012-04-12" 5710.5
"2012-04-13" 5651.8
"2012-04-16" 5666.3
"2012-04-17" 5767
"2012-04-18" 5745.3
"2012-04-19" 5744.5
"2012-04-20" 5772.1
"2012-04-23" 5665.6
"2012-04-24" 5709.5
"2012-04-25" 5718.9
"2012-04-26" 5748.7
"2012-04-27" 5777.1
"2012-04-30" 5737.8
"2012-05-01" 5812.2
"2012-05-02" 5758.1
"2012-05-03" 5766.5
"2012-05-04" 5655.1
"2012-05-08" 5554.5
"2012-05-09" 5530
"2012-05-10" 5544
"2012-05-11" 5575.5
"2012-05-14" 5465.5
"2012-05-15" 5437.6
"2012-05-16" 5405.3
"2012-05-17" 5338.4
"2012-05-18" 5267.6
"2012-05-21" 5304.5
"2012-05-22" 5403.3
"2012-05-23" 5266.4
"2012-05-24" 5350
"2012-05-25" 5351.5
"2012-05-28" 5356.3
"2012-05-29" 5391.1
"2012-05-30" 5297.3
"2012-05-31" 5320.9
"2012-06-01" 5260.2
"2012-06-06" 5384.1
"2012-06-07" 5447.8
"2012-06-08" 5435.1
"2012-06-11" 5432.4
"2012-06-12" 5473.7
"2012-06-13" 5483.8
"2012-06-14" 5467
"2012-06-15" 5478.8
"2012-06-18" 5491.1
"2012-06-19" 5586.3
"2012-06-20" 5622.3
"2012-06-21" 5566.4
"2012-06-22" 5513.7
"2012-06-25" 5450.6
"2012-06-26" 5447
"2012-06-27" 5523.9
"2012-06-28" 5493.1
"2012-06-29" 5571.1
"2012-07-02" 5640.6
"2012-07-03" 5687.7
"2012-07-04" 5684.5
"2012-07-05" 5692.6
"2012-07-06" 5662.6
"2012-07-09" 5627.3
"2012-07-10" 5664.1
"2012-07-11" 5664.5
"2012-07-12" 5608.3
"2012-07-13" 5666.1
"2012-07-16" 5662.4
"2012-07-17" 5629.1
"2012-07-18" 5685.8
"2012-07-19" 5714.2
"2012-07-20" 5651.8
"2012-07-23" 5533.9
"2012-07-24" 5499.2
"2012-07-25" 5498.3
"2012-07-26" 5573.2
"2012-07-27" 5627.2
"2012-07-30" 5693.6
"2012-07-31" 5635.3
"2012-08-01" 5712.8
"2012-08-02" 5662.3
"2012-08-03" 5787.3
"2012-08-06" 5808.8
"2012-08-07" 5841.2
"2012-08-08" 5845.9
"2012-08-09" 5851.5
"2012-08-10" 5847.1
"2012-08-13" 5831.9
"2012-08-14" 5864.8
"2012-08-15" 5833
"2012-08-16" 5834.5
"2012-08-17" 5852.4
"2012-08-20" 5824.4
"2012-08-21" 5857.5
"2012-08-22" 5774.2
"2012-08-23" 5776.6
"2012-08-24" 5776.6
"2012-08-28" 5775.7
"2012-08-29" 5743.5
"2012-08-30" 5719.5
"2012-08-31" 5711.5
"2012-09-03" 5758.4
"2012-09-04" 5672
"2012-09-05" 5657.9
"2012-09-06" 5777.3
"2012-09-07" 5794.8
"2012-09-10" 5793.2
"2012-09-11" 5792.2
"2012-09-12" 5782.1
"2012-09-13" 5819.9
"2012-09-14" 5915.5
"2012-09-17" 5893.5
"2012-09-18" 5868.2
"2012-09-19" 5888.5
"2012-09-20" 5854.6
"2012-09-21" 5852.6
"2012-09-24" 5838.8
"2012-09-25" 5859.7
"2012-09-26" 5768.1
"2012-09-27" 5779.4
"2012-09-28" 5742.1
"2012-10-01" 5820.5
"2012-10-02" 5809.5
"2012-10-03" 5825.8
"2012-10-04" 5827.8
"2012-10-05" 5871
"2012-10-08" 5841.7
"2012-10-09" 5810.3
"2012-10-10" 5776.7
"2012-10-11" 5829.8
"2012-10-12" 5793.3
"2012-10-15" 5805.6
"2012-10-16" 5870.5
"2012-10-17" 5910.9
"2012-10-18" 5917
"2012-10-19" 5896.1
"2012-10-22" 5882.9
"2012-10-23" 5797.9
"2012-10-24" 5804.8
"2012-10-25" 5805
"2012-10-26" 5806.7
"2012-10-29" 5795.1
"2012-10-30" 5849.9
"2012-10-31" 5782.7
"2012-11-01" 5861.9
"2012-11-02" 5868.5
"2012-11-05" 5839.1
"2012-11-06" 5884.9
"2012-11-07" 5791.6
"2012-11-08" 5776
"2012-11-09" 5769.7
"2012-11-12" 5767.3
"2012-11-13" 5786.3
"2012-11-14" 5722
"2012-11-15" 5677.8
"2012-11-16" 5605.6
"2012-11-19" 5737.7
"2012-11-20" 5748.1
"2012-11-21" 5752
"2012-11-22" 5791
"2012-11-23" 5819.1
"2012-11-26" 5786.7
"2012-11-27" 5799.7
"2012-11-28" 5803.3
"2012-11-29" 5870.3
"2012-11-30" 5866.8
"2012-12-03" 5871.2
"2012-12-04" 5869
"2012-12-05" 5892.1
"2012-12-06" 5901.4
"2012-12-07" 5914.4
"2012-12-10" 5921.6
"2012-12-11" 5925
"2012-12-12" 5945.9
"2012-12-13" 5929.6
"2012-12-14" 5921.8
"2012-12-17" 5912.1
"2012-12-18" 5935.9
"2012-12-19" 5961.6
"2012-12-20" 5958.3
"2012-12-21" 5940
"2012-12-24" 5954.2
"2012-12-27" 5954.3
"2012-12-28" 5925.4
"2012-12-31" 5897.8
