IDNo.	JobType	Sex	Satisfaction	Salary	Search
1	1	1	3	51	1
2	4	1	3	38	2
3	5	1	3	51	4
4	1	2	2	52	5
5	2	1	3	49	2
6	2	1	3	54	2
7	3	1	2	45	2
8	1	1	2	51	5
9	4	1	2	52	2
10	1	2	3	48	2
11	1	1	2	57	2
12	4	1	1	49	1
13	3	1	4	45	1
14	1	2	3	51	2
15	4	1	1	49	2
16	1	1	3	56	2
17	5	1	1	34	1
18	4	1	2	45	3
19	5	1	2	37	6
20	1	1	2	52	1
21	4	1	1	47	2
22	1	1	2	50	2
23	3	1	1	46	2
24	4	1	2	47	2
25	2	1	1	58	1
26	4	1	2	44	3
27	1	2	3	55	2
28	4	1	1	35	2
29	4	1	4	42	1
30	2	1	1	62	2
31	2	1	1	53	1
32	1	2	2	43	2
33	1	2	2	49	4
34	3	1	3	41	4
35	4	1	2	45	2
36	1	1	1	62	2
37	5	1	1	45	5
38	1	1	1	57	1
39	2	1	1	64	3
40	1	1	2	51	1
41	1	1	2	55	4
42	4	1	2	48	5
43	5	1	3	45	3
44	3	1	2	41	1
45	2	1	2	53	2
46	4	1	3	40	3
47	4	1	3	54	1
48	4	1	1	44	2
49	4	1	1	52	2
50	3	1	3	43	2
51	1	1	3	50	1
52	3	1	1	41	3
53	1	1	1	52	1
54	5	1	2	37	3
55	1	1	4	44	2
56	2	1	3	51	3
57	4	1	2	38	2
58	3	1	1	48	6
59	2	1	2	49	3
60	1	1	2	48	1
61	1	1	3	47	4
62	1	1	1	44	1
63	1	1	3	57	2
64	1	1	2	46	2
65	3	1	2	34	3
66	2	1	3	48	2
67	1	1	2	48	1
68	1	1	1	47	2
69	3	1	3	47	1
70	4	1	3	37	6
71	4	1	1	47	4
72	1	1	2	44	1
73	3	1	2	45	2
74	2	1	3	53	1
75	4	1	4	47	2
76	4	1	1	42	1
77	3	1	1	36	6
78	4	1	3	49	4
79	4	1	4	45	6
80	1	1	1	44	1
81	4	1	2	39	1
82	3	1	1	41	1
83	4	1	1	45	5
84	2	1	1	55	1
85	1	1	2	56	1
86	1	1	2	54	1
87	2	1	2	58	1
88	1	1	1	50	3
89	1	1	2	56	2
90	2	1	3	37	1
91	2	1	2	53	2
92	2	1	1	52	2
93	5	1	2	46	3
94	1	1	3	51	1
95	4	1	1	41	4
