height	weight	gender	
70.0	177	0	
66.5	121	1	
67.5	145	1	
69.0	227	0	
71.5	171	0	
69.5	171	0	
64.0	107	1	
71.0	181	0	
73.0	183	0	
71.5	185	0	
72.0	170	0	
71.0	182	0	
73.0	185	0	
71.0	206	0	
70.0	167	0	
71.0	217	0	
74.0	210	0	
71.0	220	0	
65.0	112	1	
68.0	155	0	
67.0	210	0	
70.0	195	0	
66.0	145	1	
69.0	150	0	
75.0	240	0	
66.0	155	1	
77.0	229	0	
68.0	184	0	
70.0	160	0	
68.0	160	0	
68.0	148	0	
73.0	173	0	
74.0	241	0	
72.0	175	0	
67.0	163	0	
73.0	183	0	
72.0	227	0	
69.0	184	2	
63.0	125	1	
74.0	211	0	
68.0	208	0	
68.0	175	0	
69.0	140	0	
72.0	190	0	
77.0	173	0	
71.0	168	0	
70.5	190	0	
71.0	162	0	
69.0	174	0	
69.0	170	0	
68.0	208	0	
68.0	222	0	
68.5	148	1	
60.0	125	1	
67.0	125	1	
73.0	180	0	
62.0	120	1	
69.0	160	1	
66.0	173	1	
61.5	135	1	
71.0	195	0	
73.0	145	0	
67.0	97	0	
71.0	194	0	
71.0	196	0	
72.0	186	0	
73.0	175	0	
73.0	190	0	
71.5	179	0	
			
			
			
			
			
			
			
			
			
			
